,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,9758,4TczULwOvE5AHR49Qzrrjj,Yung Buda;brTT;NIKITO,Zero,Indigo Plateau,45,369384,True,0.739,0.637,3,-6.9,0,0.0296,0.206,0.00312,0.102,0.357,129.97,4,brazil
1,6770,2fJ448Aj8oYxHKILgqr6Bx,Ninkharsag,Blood Of Celestial Kings,The Sicarii,17,222880,False,0.172,0.951,6,-5.129,0,0.0992,0.0,0.886,0.115,0.197,122.02,4,black-metal
2,30559,1Sl3njkhhz8nrSPZroDQ82,Dimitri Vegas & Like Mike;David Guetta;Dimitri Vegas;Kiiara,Complicated (feat. Kiiara),Complicated (feat. Kiiara),59,184247,False,0.678,0.819,8,-3.306,1,0.0313,0.191,0.0,0.159,0.499,90.004,4,edm
3,51138,3FQwvjvKnE3O4YKawVUNpA,Lil Baby;Gunna,Bad Boy Club,Drip Too Hard,0,145542,True,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.39,112.509,4,hip-hop
4,84959,38iU6mhP1QpcnrQCFRluu2,Mothership,Mothership,Cosmic Rain,26,295200,False,0.235,0.936,10,-8.766,0,0.082,3.96e-05,0.557,0.17,0.561,109.674,4,psych-rock
5,37126,6vloM8MDs7tiSTEk1FbrAA,Stevie Wonder,Home For Christmas 2022,What Christmas Means To Me,0,147800,False,0.524,0.614,0,-8.05,1,0.0363,0.202,0.0,0.0802,0.751,82.229,4,funk
6,93926,0XWYrGGrjHn8u6qnVCLpv7,Sergei Lemeshev,Сергей Лемешев. 20 золотых песен,Весна,0,153493,False,0.446,0.0891,5,-20.31,1,0.0399,0.991,4.39e-05,0.0953,0.221,92.73,4,romance
7,8619,55ROr3cl3yi4YRBgfpDy1d,J.J. Cale,Naturally,Call The Doctor,59,147200,False,0.466,0.188,1,-18.309,0,0.0547,0.198,0.657,0.082,0.615,243.372,3,blues
8,105332,2G3LqJxNLVlCZ2oKMasqrA,Matt Large,The Quiet Life,Gloomy Thoughts,13,167708,False,0.655,0.485,8,-9.528,1,0.103,0.196,0.843,0.159,0.221,146.022,4,study
9,49220,51t7B6llMqmw9Y5fgOpU67,Unresolved,Whispers,Whispers,28,171003,False,0.472,0.955,3,-2.216,1,0.135,0.392,0.721,0.295,0.245,159.96,4,hardstyle
10,108455,6GLxiIefH1UoUH4JG9yVMX,Sandra Luna;Franco Luciani;Leonardo Andersen;Pablo Motta,Inmensidad,Naranjo en Flor,20,232089,False,0.419,0.228,9,-11.482,1,0.0758,0.902,1.88e-05,0.108,0.281,170.049,4,tango
11,109376,5l8VA4LS2FUfqavQVgaaxO,AIROD;Amelie Lens,Raver's Heart EP,Raver's heart,49,336266,False,0.754,0.752,4,-10.233,0,0.0434,7.46e-05,0.862,0.0834,0.161,139.998,4,techno
12,42321,6RhkOuod5deivQlmFfJhQ4,Magrudergrind,II,Unit 731,14,141179,False,0.313,0.892,8,-4.254,1,0.103,1.69e-05,0.845,0.312,0.269,109.071,4,grindcore
13,59964,4zKQYMQrd6QuyzoOCZmf6C,Rojin Sharafi,Urns Waiting To Be Fed,A Barrel Of Monkeys,0,343000,False,0.339,0.732,1,-11.283,1,0.306,0.0145,0.615,0.136,0.133,182.459,4,iranian
14,27480,5yfsQpYeFMwohoeI5a2Ntj,Mind Vortex,Against the Grain EP,Against the Grain,18,293553,False,0.413,0.947,1,-2.607,1,0.0582,0.000152,0.891,0.177,0.201,174.046,4,drum-and-bass
15,10529,378IgtHvaJRuKjiKx9PTxQ,Deekline;Wizard,"Back up, Coming Through",Dancehall Thrilla,13,184013,False,0.713,0.964,7,-9.212,1,0.0363,0.00541,0.0,0.354,0.562,138.054,4,breakbeat
16,101063,75d0bRTJdZH140Y45LtN8E,Weißes Rauschen HD,Weißer Lärm Baby Schlaf (Meeresrauschen),Schlaf jetzt Hilfe,50,190629,False,0.166,0.305,10,-16.525,1,0.0575,0.675,0.984,0.916,1e-05,117.411,4,sleep
17,67195,0Ysepw3QUt2pyKvsBZ9PGD,J Balvin;KAROL G;Nicky Jam;Crissin;Totoy El Frio;Natan & Shander,Homecoming Latin Party,Poblado - Remix,0,392866,False,0.813,0.81,3,-5.382,0,0.0809,0.112,1.59e-06,0.377,0.632,93.005,4,latin
18,43524,4KgipXGSA2OQrxnHsBt9ei,Housenick;Paul Lock,Take My Hand,Take My Hand - Paul Lock Remix,42,282157,False,0.662,0.71,5,-5.437,0,0.0323,0.0789,0.139,0.322,0.657,121.018,4,groove
19,10665,2WkbTGr62za4SPXF6xdJ9v,Krafty Kuts,I Got The Feeling,I Got The Feeling,12,338181,False,0.72,0.888,5,-3.143,0,0.0478,0.000769,0.39,0.122,0.429,132.017,4,breakbeat
20,72316,7JP8lWYrxpA8luKU8IPd3Y,Asking Alexandria,See What’s On The Inside,Alone Again,56,228977,False,0.496,0.969,10,-3.085,1,0.0688,7.49e-05,5.93e-06,0.242,0.199,109.977,4,metalcore
21,23340,2xIC5DmTHaGBL83a9OUXM4,Buray;Arem Ozguc;Arman Aydin,Senin Yüzünden,Senin Yüzünden,62,173250,False,0.724,0.807,3,-4.021,0,0.0682,0.047,4.57e-05,0.0762,0.704,94.978,4,deep-house
22,33953,1K4OfBFaLleSUaUVjp1l2X,ilyTOMMY;Savage Ga$p,Tunnel of Love,Tunnel of Love,58,142364,True,0.683,0.636,7,-12.096,0,0.0978,0.302,0.498,0.0972,0.615,160.012,4,emo
23,8215,03Uo2utHEdsOoEKwPs4w0G,Chuck Berry,pov: you are walking in a winter wonderland,Run Rudolph Run,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
24,76760,2zGKXiqO0irUZWBL1OJFUy,Luciano Pavarotti;The Corrs,Pavarotti & Friends For The Children Of Liberia,'O Surdato 'nnamorato,19,221026,False,0.4,0.689,10,-7.089,1,0.0618,0.781,4.49e-06,0.973,0.418,122.28,4,opera
25,12324,6Ul9rhrqbz77gwDoWMtqhE,my little airport,I ALSO DON'T KNOW (Live),只因當時太緊張 - Live,31,144142,False,0.351,0.777,7,-7.694,1,0.0487,0.082,0.0,0.759,0.401,143.327,4,cantopop
26,105256,6NLzpxi7PZH1K1tsLqpmeh,DGHTR,Dream ON,Dream ON,34,107586,False,0.859,0.45,9,-6.839,1,0.0519,0.682,0.905,0.149,0.267,145.009,4,study
27,54722,5rSgqeuYRcmelo0G7542ez,Cylob,Cymply The Best 93-01,Divided Loyalties,10,242693,False,0.758,0.679,9,-13.531,1,0.0545,0.573,0.917,0.0932,0.84,103.955,4,idm
28,113209,1Hv54MWloXiAZDam1ez840,All Sons & Daughters;Leslie Jordan;David Leonard,All Sons & Daughters,Great Are You Lord,57,296343,False,0.472,0.351,9,-8.996,1,0.0326,0.589,0.0,0.0821,0.0611,144.01,3,world-music
29,48328,5lWxhOZyvgTrCxAbcnCAeB,The Bronx,The Bronx (II),History's Stranglers,34,165613,False,0.394,0.991,11,-3.351,0,0.0716,3.93e-05,0.00125,0.0563,0.834,97.93,4,hardcore
30,95118,2E2Yuv42aBOnNhfbbqNoQf,Pedro Conga,1,Me Niegas Tanto Amor,38,283333,False,0.65,0.656,0,-9.434,0,0.0377,0.627,1.05e-06,0.203,0.962,174.716,4,salsa
31,14400,0uQ9k7bcZUKW3ldyMz329A,ChuChu TV,Baby Shark & More Kids Songs,Abc Phonics Song,29,229119,False,0.637,0.817,0,-4.046,1,0.0364,0.0657,1.25e-05,0.509,0.951,145.623,4,children
32,6962,3337Hpv6XBBEWLwoRsSMxT,Tersivel,For One Pagan Brotherhood,Cruzat Beer House Song,16,241951,False,0.419,0.877,7,-5.468,1,0.102,0.0285,0.00088,0.712,0.397,170.025,4,black-metal
33,23006,5poevcmYCOZ8uZQnUuOPxC,The Him,Always,Always,61,193103,False,0.491,0.612,10,-5.761,1,0.0796,0.0699,0.0,0.0946,0.279,173.846,4,deep-house
34,23080,0HNDr5c2IOIvfe8DPwjVO9,Purple Disco Machine;Sophie and the Giants,Exotica,Hypnotized,59,195704,False,0.689,0.812,11,-5.084,0,0.0995,0.0977,0.000308,0.109,0.706,108.064,4,deep-house
35,59800,6LRvIZUv1u8LFsxnk2iMr0,Saeed Dehghan;Safir,Halabi Abad,Burning Under the Snow,3,300230,False,0.485,0.865,1,-7.423,0,0.265,0.235,3.72e-05,0.11,0.358,128.121,4,iranian
36,105404,08yabbz2gI6i3GN4saWVkm,Dusty Decks,Spinning the Wheels,Stone Cookies,28,153630,False,0.74,0.644,6,-7.313,0,0.0539,0.0351,0.879,0.133,0.498,92.998,4,study
37,69624,5GutrpSIyz6JxC92mkdHve,Kalla Sha;Vkdkv;Vaidhyan,Pitch Black,Straight Outta Kerala,23,154920,True,0.929,0.49,9,-10.382,1,0.201,0.0303,7.1e-06,0.0808,0.276,110.134,4,malay
38,69814,45UIO7DRXlXeeROU8F1AKl,Vikadakavi;Switch Lock Up,Dare to Ride - Blenzzers,Dare to Ride - Blenzzers,23,221913,False,0.798,0.562,11,-12.748,0,0.265,0.152,0.0,0.347,0.431,99.98,4,malay
39,23983,5zjesnnX1y2PkYKNZl5Jl0,SJUR;Isac Elliot,Rich & Famous (with Isac Elliot),Rich & Famous (with Isac Elliot),42,163220,False,0.704,0.881,9,-5.502,1,0.0381,0.026,7.84e-06,0.113,0.822,118.025,4,deep-house
40,43717,0bFgyBeGeoxmS3OLAUoQYO,Anagramma;Helen Engels,Phoenix,Phoenix,43,418937,False,0.755,0.596,7,-10.511,1,0.0443,0.0246,0.555,0.135,0.224,112.013,4,groove
41,1216,6DU07zLVPOlPqqybYpQZDn,La Misa Negra,La Misa Negra,Dueña de Mi,25,183213,False,0.587,0.686,9,-5.113,0,0.122,0.00428,0.00705,0.0428,0.71,183.938,4,afrobeat
42,9370,3HBifoZvJ5ThoUuYdHpKpr,Sued Silva,Onde Está Sua Fé?,Onde Está Sua Fé?,46,308096,False,0.581,0.588,5,-5.658,1,0.0338,0.444,0.0,0.113,0.432,113.93,4,brazil
43,83274,4LTFOJjQt0wSunlfvIuCYe,Armin van Buuren,ASOT 1090 - A State Of Trance Episode 1090,"A State Of Trance (ASOT 1090) - Track Recap, Pt. 1",40,33680,False,0.721,0.703,2,-7.36,1,0.299,0.084,0.0,0.226,0.842,124.097,4,progressive-house
44,58459,77L7IkqBv11gA6HNtY6Cka,Area 11,All the Lights in the Sky,"Cassandra, Pt II",25,203306,False,0.513,0.989,9,-4.409,1,0.0831,0.00516,0.0,0.571,0.671,161.015,4,industrial
45,51057,7m4CgL81VVIHaaiSxyH922,Yo Yo Honey Singh,Desi Kalakaar,Desi Kalakaar,69,253352,False,0.751,0.67,0,-4.587,1,0.267,0.0796,0.00018,0.0908,0.766,156.062,4,hip-hop
46,67653,1ZncGj6fmxAvJka0i86ONx,Mariah Angeliq,Feliz Cumpleaños con Perreo,La Tóxica,0,171280,True,0.536,0.723,6,-4.761,0,0.268,0.0149,7.78e-05,0.0952,0.724,91.761,4,latin
47,108906,3TjXPh8bOY0K6K5WnReqH8,Esteban Morgado,Milongueros,Oblivion,16,305680,False,0.366,0.465,2,-4.685,0,0.0296,0.626,0.00416,0.161,0.353,116.53,4,tango
48,113771,6sxp2vjr5QD13ydS5dC6AP,Chris Tomlin,Always,Father Of Lights,39,272290,False,0.541,0.495,9,-6.221,1,0.0288,0.452,0.0,0.112,0.386,74.986,4,world-music
49,85465,1cmIuauHOxvxzTCFXFnNRL,Pornofilmy,В диапазоне между отчаянием и надеждой,В диапазоне,53,331319,False,0.486,0.907,4,-4.309,1,0.111,0.00034,0.000388,0.0768,0.249,168.024,4,punk-rock
50,77205,0quzo2H1Htmw7kdYnIWO3I,Raça Negra,Rei do Baile,Tão Seu,49,171826,False,0.687,0.751,9,-6.799,1,0.037,0.664,9.68e-06,0.132,0.518,90.995,4,pagode
51,356,4I18rXWixQBWc8JhTqx6Xn,Erin McCarley,I Won't Let You Down,I Won't Let You Down,40,198344,False,0.495,0.329,7,-11.661,1,0.0386,0.652,7.61e-05,0.0606,0.0919,72.992,4,acoustic
52,20632,74PCszRhDWWJv0mpCCe79l,Ava Max,Pop Hits Now,Maybe You're the Problem,0,190318,False,0.53,0.835,9,-3.69,1,0.11,0.0453,0.0,0.0637,0.471,166.02,4,dance
53,62626,5DtZ4fNKomfHJRoXkMBW27,サザンオールスターズ,人気者で行こう,メリケン情緒は涙のカラー,37,263446,False,0.668,0.941,0,-5.874,1,0.104,0.0942,0.0,0.061,0.913,143.616,4,j-pop
54,14692,6BasQoqS5PIPzbJ5QfCDc9,John Williamson,A Hell of a Career,I Can't Feel Those Chains Any Longer - Live,32,212680,False,0.661,0.599,5,-7.571,1,0.0309,0.375,0.0,0.67,0.86,125.557,4,children
55,27606,3nZw1QmonyEBhwBWaodKxi,Krakota,Be The Reason,Be The Reason,51,259310,False,0.405,0.958,7,-3.105,0,0.0412,0.00271,0.346,0.451,0.228,173.928,4,drum-and-bass
56,110480,0RkLL6wLzJ9wATC8WR6aSY,Above & Beyond;Zoë Johnston;Fehrplay,10 Years of Group Therapy (Part 2),You Got To Go - Fehrplay Extended Mix,27,452903,False,0.633,0.797,0,-7.942,0,0.0339,0.0614,0.887,0.0668,0.355,123.999,4,trance
57,606,685WYfzmOeDOF4laU8UuOv,Lee DeWyze,Blackbird Song,Blackbird Song,49,254615,False,0.259,0.195,9,-13.639,0,0.0331,0.264,0.433,0.352,0.183,146.011,4,acoustic
58,12116,2AtBtTANT1RAWLyAMq6R2k,Jacky Cheung,走過1999,她來聽我的演唱會,53,292933,False,0.695,0.212,6,-14.412,1,0.0412,0.889,3.86e-05,0.65,0.328,124.072,4,cantopop
59,16619,2svGLVFmbtPze0z6p6vexA,Sanjay Subrahmanyan,Gems of Carnatic Music: Sanjay Subrahmanyan (Live in Concert 2005),Paripaalayama - Behag - Adi - Live,32,301023,False,0.402,0.493,6,-10.52,0,0.102,0.888,0.000192,0.128,0.67,167.836,4,classical
60,24599,1i4JLv6Khmb5doZL4aPOmK,Underground Resistance,Electronic Warfare 2.0,In Or Out,5,194893,False,0.781,0.529,1,-10.562,1,0.113,0.0538,0.0776,0.0574,0.428,136.657,4,detroit-techno
61,83269,5dSc5BbU8wbGY0dHVpf4Ys,Armin van Buuren,Hey (I Miss You),Clap,32,150002,False,0.645,0.97,9,-3.417,1,0.134,0.00804,0.562,0.411,0.123,130.244,4,progressive-house
62,60511,7vo8QfzvAVOfqRHDBWLxIb,Mavado,Life Support Riddim,TRUE,21,178831,False,0.613,0.526,9,-7.205,1,0.251,0.0921,5.35e-06,0.353,0.308,101.018,4,j-dance
63,38025,3DQVgcqaP3iSMbaKsd57l5,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",I Bet You Look Good On The Dancefloor,75,173680,False,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,4,garage
64,95432,0XVx93yop5ysk1DqnzVHVW,Grupo Niche,Una Aventura...La Historia,Te Enseñare A Olvidar,31,310240,False,0.665,0.752,8,-10.015,1,0.0425,0.351,0.0494,0.0356,0.905,177.229,4,salsa
65,64865,7dlLvLDyVH7D7wvoaMuHVE,Tony Bennett,A Swingin' Christmas Featuring The Count Basie Big Band,Winter Wonderland,39,149426,False,0.653,0.495,3,-7.803,1,0.0351,0.529,0.0,0.116,0.448,126.58,4,jazz
66,84075,6P8W3SKPHIWQwkoLFpMQkE,The Beach Boys,All I want For Christmas Is Music,Frosty The Snowman - 1991 Remix,0,114551,False,0.426,0.473,5,-7.924,1,0.0335,0.353,0.0,0.0234,0.937,181.752,4,psych-rock
67,30577,5nihLVpUd4birzwDlSp1Ph,BEAUZ;JVNA,Crazy,Crazy,57,188235,False,0.739,0.796,8,-4.03,1,0.0332,0.165,0.0,0.0752,0.422,102.038,4,edm
68,58591,7G8vaJHlsKyeSoBwOFbsUs,Razed In Black,Damaged,I'll Damage You,21,323941,False,0.589,0.878,11,-8.032,0,0.0391,5.99e-05,0.577,0.18,0.556,135.012,4,industrial
69,78294,5puhmDdBPMn3gpcTn97753,Fäaschtbänkler,Flamingo + Hoch die Hände Wochenende,Konfetti,35,150560,False,0.796,0.712,0,-7.975,1,0.098,0.146,0.0,0.323,0.788,127.97,4,party
70,73719,1hhbjqeEfUjzSweXFWIuSk,DAVID AUGUST;Wanja,Times,Hommage,41,232772,False,0.602,0.332,7,-12.441,0,0.0943,0.307,0.886,0.252,0.258,95.0,4,minimal-techno
71,98613,183eww9uTE7m2gI5gWMWxT,Marin Mazzie;Peter Friedman;Steven Sutcliffe;Vanessa Townsell-Crisp;Brian Stokes Mitchell;Judy Kaye;Ragtime Ensemble,Ragtime: The Musical (Original Broadway Cast Recording),Till We Reach That Day,23,251133,False,0.228,0.318,8,-10.945,1,0.0388,0.954,0.0,0.0885,0.217,80.776,4,show-tunes
72,17070,3oXyxYeCJsVMMV1Vuido4g,Infraction,Devil In a Red Dress,Devil In a Red Dress,32,204000,False,0.702,0.821,5,-4.299,0,0.0495,0.051,0.118,0.151,0.199,110.015,4,club
73,91837,5uc8qnreoDC8ZxVZ8EjZRc,Annie Lennox,Halloween Party 2022,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",0,210520,False,0.563,0.383,2,-7.544,0,0.0322,0.283,2.59e-06,0.127,0.358,173.98,3,rock
74,112945,7rLMiboVmBwaWIP9UI4Ph2,Nesrin Sipahi,"Nesrin Sipahi, Vol. 2",Hani O Bırakıp Giderken Seni,40,196284,False,0.291,0.292,5,-6.799,1,0.0357,0.871,0.0,0.353,0.0792,140.492,3,turkish
75,70661,7oRpNoAsvWrBM69Vv2vK0x,Yoga Lin,THE GREAT YOGA演唱會數位Live精選,成全 - Live,43,309801,False,0.413,0.491,5,-7.561,1,0.0288,0.0731,0.0,0.926,0.14,80.04,4,mandopop
76,105320,1Iz4d9GZYFKdLvhcUQ668x,Wenight,"Raspberries, Yes","Raspberries, Yes",33,141176,False,0.667,0.403,8,-15.347,1,0.0602,0.764,0.545,0.0962,0.238,154.18,4,study
77,66374,1VxM3THxCqp52Vvd9LKRIE,Blake Rules;Netherfriends,Kids Trap 7,The Seatbelt Song,12,156164,False,0.788,0.443,8,-11.546,1,0.12,0.18,0.0575,0.0873,0.317,101.439,4,kids
78,88812,62vDrkBEyJYEOFj1ScBqM7,Becky G;Natti Natasha,MALA SANTA,Sin Pijama,67,190160,False,0.788,0.745,11,-4.417,0,0.0448,0.352,4.56e-05,0.0973,0.79,94.002,4,reggae
79,2019,5xUhs6dlfkcxZM8zq7riYF,Red Hot Chili Peppers,Tek It - New Noise,Black Summer,1,232412,False,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,4,alt-rock
80,82053,3LGUsgNrsptmc9SFqVNZyD,Rooney,Iron Man Armored Adventures Theme,Iron Man Armored Adventures Theme,50,136240,False,0.571,0.891,1,-3.518,0,0.047,0.00114,0.00295,0.0428,0.821,144.985,4,power-pop
81,58493,0kn3G2T5agaGeduxEkJo1h,Mudvayne,"By The People, For The People",Forget to Remember - Acoustic,24,218093,False,0.461,0.902,8,-5.628,1,0.0771,0.0101,6.38e-05,0.129,0.413,92.783,4,industrial
82,51149,0zsA45R0SQPfqC5TyDOqY8,Hiphop Tamizha;Raghu Dixit;Sathyaprakash D.;Jithin Raj,Imaikkaa Nodigal (Original Motion Picture Soundtrack),Neeyum Naanum Anbe,66,285250,False,0.467,0.826,4,-3.885,0,0.049,0.298,0.0,0.204,0.417,160.025,4,hip-hop
83,78250,6Jp404HEXaNS4FD9ZAMub1,DJ Robin;Schürze;R3HAB,Layla (English Version),Layla - English Version,58,174964,False,0.419,0.944,7,-4.166,0,0.111,0.00318,6.34e-06,0.343,0.322,140.148,4,party
84,74343,2Q46g1owigfnrzQZt110aE,Roupa Nova,Nossa História,Seguindo No Trem Azul,44,221920,False,0.425,0.533,0,-10.65,1,0.0237,0.243,0.0,0.0875,0.438,84.138,4,mpb
